^FINANCIAL,11/17/2020,1333.11,1344.67,1321.86,1343.61,2730846,2730846060.11
AUB,11/17/2020,45.35,45.35,44.5,44.5,2500,112785
BDO,11/17/2020,93.2,95.45,92.75,95.3,16518440,1552968959.5
BPI,11/17/2020,83,83,80.3,82.6,5805780,479590608.5
CHIB,11/17/2020,24.2,24.85,24.2,24.35,315100,7710670
EW,11/17/2020,10.74,11,10.74,10.98,916800,10015558
MBT,11/17/2020,44.5,44.6,44.2,44.6,5568500,247643500
PBB,11/17/2020,9.57,9.57,9.53,9.56,12600,120349
PBC,11/17/2020,19.5,19.88,19.5,19.88,11700,232216
PNB,11/17/2020,29,29.3,29,29.2,552000,16089470
PSB,11/17/2020,53,53.05,52.65,53.05,16240,859170
PTC,11/17/2020,96,96,96,96,10,960
RCB,11/17/2020,17.82,17.9,17.5,17.7,71800,1267666
SECB,11/17/2020,105,106.6,104.3,106.3,1154740,122429203
UBP,11/17/2020,62,62,61.7,62,38620,2388443
BKR,11/17/2020,0.9,0.95,0.9,0.95,218000,205690
COL,11/17/2020,28,28.4,28,28.2,66200,1861830
FERRO,11/17/2020,3.38,3.5,3.38,3.5,22000,76440
I,11/17/2020,1.28,1.28,1.2,1.21,249000,304040
MED,11/17/2020,0.315,0.32,0.315,0.315,230000,72650
MFC,11/17/2020,800,800,800,800,10,8000
NRCP,11/17/2020,0.65,0.68,0.61,0.63,1081000,693730
PSE,11/17/2020,162,162,160.5,160.5,280,45010
SLF,11/17/2020,2080,2080,2080,2080,1020,2121600
V,11/17/2020,1.04,1.05,1.04,1.05,201000,209050
^INDUSTRIAL,11/17/2020,9097.02,9166.69,9065.46,9139.74,1474588,1474588682.61
ACEN,11/17/2020,4.29,4.58,4.29,4.55,31037000,139024440
ACR,11/17/2020,1.47,1.47,1.34,1.37,12276000,17042830
AP,11/17/2020,27.15,27.5,27.1,27.1,1414400,38526625
BSC,11/17/2020,0.22,0.22,0.212,0.212,3590000,770000
FGEN,11/17/2020,29.05,29.1,28.5,28.8,2841800,81815060
FPH,11/17/2020,65.55,65.55,64.2,64.4,79900,5149575.5
MER,11/17/2020,314,314,305.2,311,156050,48333402
MWC,11/17/2020,15.22,15.22,15,15.12,2009000,30394448
PCOR,11/17/2020,3.2,3.24,3.18,3.19,3315000,10606070
PERC,11/17/2020,3.36,3.48,3.31,3.48,34000,114860
PNX,11/17/2020,12.92,12.94,12.84,12.94,77000,989940
SHLPH,11/17/2020,16.84,17.5,16.84,17.4,1334600,23035414
SPC,11/17/2020,10.4,10.7,10.3,10.42,391200,4088866
ANI,11/17/2020,8.35,8.35,8.2,8.3,333600,2755724
AXLM,11/17/2020,2.94,2.94,2.91,2.93,1071000,3132930
CAT,11/17/2020,20.95,20.95,18.5,19.88,118300,2293977
CNPF,11/17/2020,17.8,17.88,17.78,17.8,1134600,20215296
DELM,11/17/2020,5.2,5.28,5.2,5.21,103900,544782
DNL,11/17/2020,6.95,7.15,6.89,7,7506900,52645325
EMP,11/17/2020,10.06,10.06,9.96,10.02,1491300,14923729
FB,11/17/2020,63.45,64.95,63.45,64.5,267050,17220505.5
FOOD,11/17/2020,0.66,0.67,0.66,0.67,228000,151730
FRUIT,11/17/2020,1.43,1.48,1.38,1.42,28016000,39804090
GSMI,11/17/2020,51.5,59,51.15,53.4,289030,15389765
JFC,11/17/2020,190.3,196.5,190.3,196.5,1005340,195124140
LFM,11/17/2020,50,67,50,62,4580,275755
MACAY,11/17/2020,7.65,7.99,7.65,7.99,11300,86574
MAXS,11/17/2020,6.71,7.2,6.65,7.18,2947000,20419653
MG,11/17/2020,0.145,0.145,0.144,0.144,270000,39010
PIZZA,11/17/2020,8.1,8.24,8.1,8.23,513100,4195493
RCI,11/17/2020,1.24,1.25,1.22,1.25,4983000,6155910
RFM,11/17/2020,4.76,4.76,4.75,4.76,6000,28550
ROX,11/17/2020,1.82,1.87,1.77,1.78,65000,115940
SFI,11/17/2020,0.111,0.116,0.111,0.116,620000,70680
URC,11/17/2020,148.1,149.9,148,148,1128170,167593670
VITA,11/17/2020,0.86,0.9,0.84,0.89,11041000,9643510
CAB,11/17/2020,52.5,56.05,51.9,55.5,480,25342.5
CHP,11/17/2020,1.78,1.83,1.67,1.71,62543000,109103960
DAVIN,11/17/2020,4.67,5.27,4.55,5.24,496000,2505660
EAGLE,11/17/2020,15.94,16,15.7,16,237900,3779708
EEI,11/17/2020,7.5,7.77,7.44,7.64,524800,3946694
HLCM,11/17/2020,6.91,7.04,6.48,6.52,8668000,58183888
MWIDE,11/17/2020,9.71,9.85,8.9,9.3,11047200,102565494
PHN,11/17/2020,8.43,8.8,8.43,8.79,9100,77634
T,11/17/2020,0.81,0.81,0.79,0.8,97000,77960
VUL,11/17/2020,0.89,1,0.88,0.99,8453000,7995690
CIP,11/17/2020,122.2,122.2,122.2,122.2,80,9776
CROWN,11/17/2020,1.89,1.94,1.89,1.91,78000,149090
EURO,11/17/2020,2.2,2.22,2.15,2.16,1369000,2983170
MVC,11/17/2020,4.4,4.5,4.4,4.5,10000,44480
PPC,11/17/2020,4.37,4.41,4.3,4.41,29000,126570
CIC,11/17/2020,21.75,21.75,21.45,21.7,108200,2341850
GREEN,11/17/2020,2.68,2.7,2.61,2.69,6119000,16302390
IMI,11/17/2020,7.2,7.41,7.16,7.38,559500,4088224
ION,11/17/2020,1.12,1.12,1.07,1.08,1010000,1093620
PMPC,11/17/2020,5.48,5.48,5.48,5.48,900,4932
SSP,11/17/2020,1.63,1.63,1.52,1.55,5772000,9023230
TECH,11/17/2020,6.55,6.64,6.45,6.48,6800800,44301024
^HOLDING,11/17/2020,7218.58,7220.1,7153.22,7181.43,1807012,1807012726.1
ABA,11/17/2020,0.56,0.6,0.55,0.56,63900000,36556110
ABG,11/17/2020,8.85,8.85,8.51,8.55,22900,196886
AC,11/17/2020,840,849.5,832,848,480380,405642890
AEV,11/17/2020,48.05,48.05,47.4,48,1419700,67969815
AGI,11/17/2020,9.2,9.5,9.06,9.5,10930600,101561247
ALLHC,11/17/2020,2.8,3.09,2.79,3.09,27332000,81333050
ANS,11/17/2020,6.3,6.5,6.2,6.45,85000,531517
APO,11/17/2020,0.69,0.69,0.68,0.68,40000,27230
ATN,11/17/2020,0.9,0.9,0.87,0.88,5644000,4976910
ATNB,11/17/2020,0.9,0.9,0.89,0.89,156000,139050
COSCO,11/17/2020,5.35,5.38,5.34,5.35,3581100,19167401
DMC,11/17/2020,5.46,5.48,5.32,5.41,8260500,44483587
FDC,11/17/2020,9.7,9.7,9.22,9.28,48400,449152
FPI,11/17/2020,0.215,0.215,0.215,0.215,50000,10750
GTCAP,11/17/2020,530,557,530,545,357240,195693825
HI,11/17/2020,3.5,3.5,3.45,3.45,84000,289950
JGS,11/17/2020,72,72.4,70.5,72.4,1252840,89993178.5
JOH,11/17/2020,3.24,5.4,3.24,5.39,9675000,41793930
LIHC,11/17/2020,0.81,0.84,0.81,0.83,487000,397180
LPZ,11/17/2020,2.69,2.71,2.68,2.7,3580000,9664640
LTG,11/17/2020,12.5,12.9,12.5,12.82,7550500,96333798
MHC,11/17/2020,0.55,0.55,0.51,0.53,356000,188540
MPI,11/17/2020,4.2,4.23,4.17,4.19,15703000,65881520
PA,11/17/2020,4.44,4.44,4.18,4.35,11000,47520
PRIM,11/17/2020,0.86,0.86,0.83,0.83,336000,283110
REG,11/17/2020,2.52,2.52,2.52,2.52,2000,5040
SGI,11/17/2020,1.1,1.18,1.1,1.12,305000,344560
SGP,11/17/2020,220,250,220,240,2630,627320
SM,11/17/2020,1030,1030,1002,1002,344620,348882440
SMC,11/17/2020,108.2,115,108.2,113.5,1127950,127965237
SOC,11/17/2020,0.73,0.73,0.71,0.73,235000,170430
SPM,11/17/2020,1.95,1.95,1.95,1.95,142000,276900
TFHI,11/17/2020,133,144,133,136,36560,5006096
WIN,11/17/2020,0.235,0.24,0.227,0.234,3550000,831410
ZHI,11/17/2020,0.144,0.152,0.144,0.152,220000,32080
^PROPERTY,11/17/2020,3489.86,3513.11,3463.75,3513.11,1262740,1262740410.01
ALCO,11/17/2020,0.64,0.64,0.61,0.64,2371000,1480810
