^FINANCIAL,05/05/2021,1400.04,1400.04,1389.71,1394.08,565673,565673572.6
AUB,05/05/2021,43.75,44,43.75,44,500,21925
BDO,05/05/2021,104.8,104.8,103.6,104.8,1342960,140434960
BPI,05/05/2021,82,82.25,81.5,81.5,913790,74667976
CHIB,05/05/2021,24.7,25,24.7,24.8,285300,7077600
EW,05/05/2021,9.54,9.75,9.51,9.59,17000,162992
MBT,05/05/2021,45,45,44.5,44.75,1414100,63335780
PBC,05/05/2021,21.6,21.6,21.6,21.6,300,6480
PNB,05/05/2021,28.4,29.3,27.8,28.1,1443200,40940945
PSB,05/05/2021,56,56.65,56,56.65,2420,135962
RCB,05/05/2021,17.56,18.2,17.56,18.2,44900,808500
SECB,05/05/2021,115,115,112.8,113,216280,24508432
UBP,05/05/2021,73.65,73.7,73.5,73.7,27410,2019183.5
BKR,05/05/2021,1.43,1.45,1.43,1.43,121000,175050
COL,05/05/2021,3.9,3.93,3.9,3.93,156000,608610
FAF,05/05/2021,0.59,0.59,0.59,0.59,14000,8260
FERRO,05/05/2021,3.15,3.15,3,3,28000,85720
I,05/05/2021,1.49,1.49,1.49,1.49,30000,44700
MFC,05/05/2021,950,950,950,950,890,845500
NRCP,05/05/2021,0.72,0.72,0.72,0.72,62000,44640
PSE,05/05/2021,153.1,153.1,153,153,3400,520206
SLF,05/05/2021,2400,2400,2400,2400,95,228000
^INDUSTRIAL,05/05/2021,8626.1,8635.24,8556.6,8556.6,858701,858701442.18
ACEN,05/05/2021,6.9,6.92,6.79,6.82,32265000,220798207
ACR,05/05/2021,1.33,1.36,1.32,1.35,307000,410330
AP,05/05/2021,23.2,23.6,23.05,23.25,2085600,48477090
BSC,05/05/2021,0.8,0.82,0.79,0.82,27508000,22327630
FGEN,05/05/2021,31.3,31.5,31.05,31.45,1678000,52611300
FPH,05/05/2021,68,68.1,67.7,67.75,12490,847989
MER,05/05/2021,274.6,274.6,272,272.6,76000,20723024
MWC,05/05/2021,15.02,15.06,14.9,15.02,921300,13832908
PCOR,05/05/2021,3.54,3.59,3.45,3.47,2101000,7430300
