stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/02/22,6.86,7,6.8,6.8,8600,58780
8990B,2023/02/22,96,96,96,96,0,0
8990P,2023/02/22,101.1,101.1,101.1,101.1,0,0
AAA,2023/02/22,1.61,1.61,1.61,1.61,0,0
AB,2023/02/22,7.01,7.08,7.01,7.08,2700,18950
ABA,2023/02/22,2.24,2.25,2.22,2.24,4320000,9650000
ABG,2023/02/22,3.44,3.44,3.44,3.44,0,0
ABS,2023/02/22,7.5,7.5,7.25,7.25,140700,1030000
ABSP,2023/02/22,7.2,7.2,7.2,7.2,0,0
AC,2023/02/22,665,670,657,660,176660,116980000
ACE,2023/02/22,1.42,1.42,1.42,1.42,0,0
ACEN,2023/02/22,6.85,6.85,6.65,6.67,39710000,266040000
ACPA,2023/02/22,500,500,500,500,0,0
ACPB1,2023/02/22,496,496,496,496,0,0
ACR,2023/02/22,0.81,0.81,0.81,0.81,47000,38070
AEV,2023/02/22,54.95,55,53.5,54,1230000,66400000
AGI,2023/02/22,12.7,12.74,12.18,12.36,1160000,14470000
ALCO,2023/02/22,0.56,0.56,0.56,0.56,0,0
ALCPB,2023/02/22,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/02/22,102,102,102,102,0,0
ALCPD,2023/02/22,499,499,499,499,0,0
ALHI,2023/02/22,5.8,5.8,5.8,5.8,0,0
ALI,2023/02/22,28.5,28.5,28.1,28.2,9900000,279900000
ALLDY,2023/02/22,0.28,0.285,0.275,0.275,10100000,2790000
ALLHC,2023/02/22,3,3.03,3,3.03,2070000,6220000
ANI,2023/02/22,6.94,7.07,6.94,7.07,7190000,50470000
ANS,2023/02/22,10.46,10.46,10.2,10.2,27600,281790
AP,2023/02/22,37.95,38.25,36.95,37,2740000,101810000
APB2R,2023/02/22,480.2,490,480.2,486,620,302740
APC,2023/02/22,0.265,0.295,0.255,0.29,6050000,1700000
APL,2023/02/22,0.032,0.032,0.029,0.03,822600000,25130000
APO,2023/02/22,0.75,0.75,0.74,0.74,27000,20030
APVI,2023/02/22,11.96,12.2,11.96,12.2,3100,37100
APX,2023/02/22,2.02,2.02,1.96,1.98,5450000,10790000
AR,2023/02/22,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/02/22,1,1,0.99,1,561000,558800
AREIT,2023/02/22,35.7,35.7,35.4,35.65,228100,8130000
ASLAG,2023/02/22,1.68,1.72,1.65,1.66,2020000,3350000
AT,2023/02/22,4.45,4.46,4.4,4.43,154000,681080
ATI,2023/02/22,13.7,13.7,13.7,13.7,700,9590
ATN,2023/02/22,0.385,0.385,0.385,0.385,1070000,411950
ATNB,2023/02/22,0.38,0.38,0.38,0.38,0,0
AUB,2023/02/22,41.05,41.05,41,41,900,36910
AXLM,2023/02/22,2.9,2.94,2.85,2.86,279000,802730
BALAI,2023/02/22,0.7,0.7,0.65,0.67,7560000,4990000
BC,2023/02/22,5.02,5.19,4.96,5.15,41600,212130
BCB,2023/02/22,4.91,5.2,4.91,5.15,65900,331910
BCOR,2023/02/22,6.97,6.97,6.97,6.97,0,0
BCP,2023/02/22,23.3,23.3,23.3,23.3,0,0
BDO,2023/02/22,124.4,124.9,123.2,124,1950000,242310000
BEL,2023/02/22,1.44,1.45,1.41,1.43,392000,560820
BH,2023/02/22,960,960,960,960,0,0
BHI,2023/02/22,0.051,0.051,0.051,0.051,0,0
BKR,2023/02/22,1.39,1.4,1.39,1.4,71000,99190
BLOOM,2023/02/22,9.55,9.55,9.26,9.29,6690000,62370000
BMM,2023/02/22,52,52,52,52,0,0
BNCOM,2023/02/22,8.36,8.37,8.36,8.37,900,7530
BPI,2023/02/22,108.6,108.6,104,104,2290000,239410000
BRN,2023/02/22,0.81,0.81,0.77,0.78,248000,196070
BRNP,2023/02/22,103,103,103,103,0,0
BSC,2023/02/22,0.305,0.305,0.27,0.28,62860000,17520000
C,2023/02/22,1.17,1.2,1.17,1.17,83000,97200
CA,2023/02/22,37.95,37.95,37.95,37.95,0,0
CAB,2023/02/22,45,45,45,45,0,0
CAT,2023/02/22,10.8,10.8,10.8,10.8,2200,23760
CDC,2023/02/22,0.72,0.73,0.7,0.72,109000,76830
CEB,2023/02/22,41.5,41.5,40.2,40.2,231700,9420000
CEBCP,2023/02/22,41,41,40,40,46700,1890000
CEI,2023/02/22,0.095,0.095,0.083,0.089,4560000,403290
CEU,2023/02/22,7.5,7.5,7.5,7.5,0,0
CHI,2023/02/22,6.12,6.12,6.12,6.12,0,0
CHIB,2023/02/22,31,31.1,30.8,31.1,213600,6620000
CHP,2023/02/22,1.2,1.2,1.18,1.19,4530000,5380000
CIC,2023/02/22,16.18,16.18,16.14,16.14,11700,188980
CIP,2023/02/22,165,165,165,165,0,0
CLI,2023/02/22,2.59,2.62,2.59,2.59,114000,296720
CNPF,2023/02/22,25.45,25.45,25,25.2,998900,25190000
CNVRG,2023/02/22,16.18,16.38,16.08,16.28,4430000,71940000
COAL,2023/02/22,0.228,0.228,0.228,0.228,0,0
COL,2023/02/22,3.02,3.14,3.02,3.14,14000,43840
COSCO,2023/02/22,4.55,4.55,4.48,4.5,1790000,8050000
CPG,2023/02/22,0.365,0.365,0.365,0.365,100000,36500
CPGP,2023/02/22,99,101,99,101,10010,991010
CPM,2023/02/22,3.23,3.25,3.23,3.25,82000,265300
CREIT,2023/02/22,2.45,2.45,2.41,2.44,2190000,5310000
CROWN,2023/02/22,1.56,1.56,1.56,1.56,3000,4680
CSB,2023/02/22,7.75,7.75,7.75,7.75,0,0
CTS,2023/02/22,0.93,0.94,0.93,0.94,258000,240980
CYBR,2023/02/22,0.33,0.33,0.33,0.33,0,0
DD,2023/02/22,6.76,6.88,6.76,6.76,54300,367750
DDMPR,2023/02/22,1.45,1.46,1.43,1.44,2320000,3350000
DDPR,2023/02/22,97.95,97.95,96.4,96.4,5010,482980
DELM,2023/02/22,13.52,13.6,13.48,13.5,29500,398310
DFNN,2023/02/22,3.44,4,3.44,3.99,1870000,7200000
DHI,2023/02/22,3.16,3.16,3.16,3.16,0,0
DITO,2023/02/22,3.42,3.43,3.35,3.36,2640000,8930000
DIZ,2023/02/22,4.88,4.88,4.5,4.5,19000,89300
DMC,2023/02/22,11.12,11.2,10.96,11,4650000,51330000
DMCP,2023/02/22,1400,1400,1400,1400,0,0
DMPA1,2023/02/22,10,10,10,10,0,0
DMPA2,2023/02/22,9.71,9.71,9.71,9.71,0,0
DMW,2023/02/22,6.89,6.89,6.88,6.88,19900,137060
DNA,2023/02/22,2.86,2.86,2.86,2.86,0,0
DNL,2023/02/22,8.3,8.3,8.1,8.1,1400000,11390000
DTEL,2023/02/22,10.25,10.25,10.25,10.25,0,0
DWC,2023/02/22,1.55,1.55,1.55,1.55,0,0
EAGLE,2023/02/22,17,17,17,17,0,0
ECP,2023/02/22,3.28,3.28,3.28,3.28,5000,16400
EEI,2023/02/22,2.9,2.92,2.85,2.86,663000,1900000
EEIPA,2023/02/22,97,97,97,97,0,0
EEIPB,2023/02/22,101.5,101.5,101.5,101.5,30,3050
EG,2023/02/22,0.0094,0.0094,0.0094,0.0094,0,0
ELI,2023/02/22,0.196,0.196,0.195,0.195,170000,33190
EMI,2023/02/22,20.75,20.75,20.45,20.6,3220000,66040000
ENEX,2023/02/22,12.76,12.76,12.46,12.6,4600,57680
EURO,2023/02/22,0.94,0.94,0.94,0.94,1000,940
EVER,2023/02/22,0.265,0.265,0.26,0.26,1020000,268750
EW,2023/02/22,7.37,7.37,7.34,7.34,34200,251730
FAF,2023/02/22,0.71,0.71,0.71,0.71,0,0
FB,2023/02/22,51.2,52,49,52,283000,14110000
FBP,2023/02/22,1011,1011,1011,1011,0,0
FBP2,2023/02/22,1005,1005,1005,1005,0,0
FCG,2023/02/22,0.84,0.85,0.82,0.84,37920000,31650000
FDC,2023/02/22,6.01,6.01,5.9,5.9,2100,12610
FERRO,2023/02/22,2.81,3,2.81,2.98,204000,602780
FEU,2023/02/22,549.5,549.5,548.5,548.5,150,82300
FFI,2023/02/22,4.12,4.12,4.12,4.12,0,0
FGEN,2023/02/22,18,18,17.7,17.78,259800,4630000
FGENG,2023/02/22,100.4,100.4,100.4,100.4,0,0
FILRT,2023/02/22,5.57,5.57,5.53,5.56,934400,5190000
FJP,2023/02/22,2.08,2.08,2.08,2.08,0,0
FJPB,2023/02/22,1.88,1.88,1.88,1.88,0,0
FLI,2023/02/22,0.8,0.81,0.8,0.81,2490000,2000000
